,0,1,2,3,4,5,6,7,8,9
normalo2020,12014640,2029330,150138, 13568, 1152, 75, 15, 1, 1, 1
normalo2021,6081530,1729320,68320,7430, 1510, 299, 37, 5, 4, 4
normalo2022,2051760,507210, 121660, 26990, 1924, 19, 6, 6, 6, 6
normalo2023,1033481,2222851,246493,45583,55,24,12,7,1,1
normalo2024,33752266,6755599,83141, 2819, 115, 19, 3, 3, 3, 2
normalo2025,33752266,3045876,215729,3065,1263,67,11,5,4,3
normalo2026,1182756,3104931,1177404, 69303, 7893, 187, 88, 16, 8, 8
vip2021,2051760, 139041, 49698, 7703, 1552, 522, 53, 29, 8, 1
vip2022,2051760,345950, 35860, 2700, 806, 175, 116, 1, 1, 1
vip2023,2051760,333560, 69560, 1587, 459, 101, 15, 1, 1, 1
vip2024,6081530,199733, 39541, 5927, 99, 2, 1, 1, 1, 1
vip2025,0,0,6166168, 779800, 131330, 9749, 452, 266, 105, 22
vip2026,0,0,15111, 225,54, 54, 54, 54, 54, 54
